password-change-help,admin,"To change the password for :email please fill in your new password and repeat the password below.","To change the password for :email please fill in your new password and repeat the password below.",,"Para cambiar la contraseÃ±a :email electrÃ³nico por favor, introduzca su nueva contraseÃ±a y repetir la contraseÃ±a abajo .",,
password-change-message,admin,"Once you have hit save we will send you back to the login page to login with your new password.","Once you have hit save we will send you back to the login page to login with your new password.",,"Una vez que haya golpeado ahorro , le enviaremos de nuevo a la pÃ¡gina de inicio de sesiÃ³n para iniciar sesiÃ³n con tu nueva contraseÃ±a.",,
password-change-placeholder1,admin,"Between 4 and 32 characters.","Between 4 and 32 characters.",,"Entre 4 y 32 caracteres.",,
password-change-placeholder2,admin,"Enter your new password again","Enter your new password again",,"Ingrese su nueva contraseÃ±a de nuevo",,
password-changed-success,admin,"Password for :email has been changed, please login.","Password for :email has been changed, please login.",,"Contrasena para :email se ha cambiado, por favor iniciar sesion.",,
password-help,admin,"Enter memorable word/s between 4 and 20 characters","Enter memorable word/s between 4 and 20 characters",,"Introduzca las palabras memorables entre los 4 y 20 caracteres",,
password-placeholder,portal,"Enter Password","Enter Password",,,,
password-repeat,portal,"Password Repeat","Password Repeat",,,,
password-repeat-placeholder,portal,"Repeat Password","Repeat Password",,,,
password-reset,admin,"Password Reset","Password Reset",,"Restablecer contrasena",,
password-title,portal,"Enter Password","Enter Password",,,,
permission,admin,Permission,Permission,Autorisation,Permiso,,
permission-create,admin,"Create Permission","Create Permission","CrÃ‡Â¸er Permission","Crear permiso",,
permissions,admin,Permissions,Permissions,,,,
placeholder,admin,Placeholder,Placeholder,,,,
please-wait,admin,"Please wait","Please wait",,"por favor espera",,
pms-button-help,admin,"The PMS button default is 'Login' but you can choose anything for this widget button as long as it's between 1 and 20 characters, donâ€™t forget the multilingual!","The PMS button default is 'Login' but you can choose anything for this widget button as long as it's between 1 and 20 characters, donâ€™t forget the multilingual!",,,,
pms-button-placeholder,admin,"Between 1 and 20 characters","Between 1 and 20 characters",,,,
pms-description-help,admin,"The PMS description default is 'Login with your name and Room' but you can choose anything for this widget description as long as it's between 1 and 100 characters, donâ€™t forget the multilingual!","The PMS description default is 'Login with your name and Room' but you can choose anything for this widget description as long as it's between 1 and 100 characters, donâ€™t forget the multilingual!",,,,
pms-description-placeholder,admin,"Between 1 and 100 characters","Between 1 and 100 characters",,,,
pms-override-content-desc,admin,"To override any of the content text on the widget please fill in the form below and hit the save button.<br>You can also change any of the languages by hitting the correct tab.","To override any of the content text on the widget please fill in the form below and hit the save button.<br>You can also change any of the languages by hitting the correct tab.",,,,
pms-override-content-title,admin,"Override PMS Content","Override PMS Content",,,,
pms-room-help,admin,"The room asks for the number of the guest room, the default is 'Room' but you can choose anything as long as it's between 1 and 20 characters, donâ€™t forget the multilingual!","The room asks for the number of the guest room, the default is 'Room' but you can choose anything as long as it's between 1 and 20 characters, donâ€™t forget the multilingual!",,,,
pms-room-placeholder,admin,"Between 1 and 20 characters","Between 1 and 20 characters",,,,
pms-room-placeholder-help,admin,"Shown to the guest before any text is added and when the guest hovers over the form element","Shown to the guest before any text is added and when the guest hovers over the form element",,,,
pms-room-placeholder-placeholder,admin,"Between 1 and 50 characters","Between 1 and 50 characters",,,,
pms-room-placeholder-title,admin,"Room placeholder","Room placeholder",,,,
pms-surname-help,admin,"The PMS surname default is 'Surname' and will compare against the surname stored in the database","The PMS surname default is 'Surname' and will compare against the surname stored in the database",,,,
pms-surname-placeholder,admin,"Between 1 and 20 characters","Between 1 and 20 characters",,,,
pms-surname-placeholder-help,admin,"The PMS surname placeholder is shown before any text is added to the surname form element (light grey text) and should tell the guest what they need to do","The PMS surname placeholder is shown before any text is added to the surname form element (light grey text) and should tell the guest what they need to do",,,,
pms-surname-placeholder-placeholder,admin,"Between 1 and 50 characters","Between 1 and 50 characters",,,,
pms-surname-placeholder-title,admin,"Surname Placeholder","Surname Placeholder",,,,
pms-title-help,admin,"The PMS title default is 'Room Login' but you can choose anything for this widget title as long as it's between 1 and 50 characters, donâ€™t forget the multilingual!","The PMS title default is 'Room Login' but you can choose anything for this widget title as long as it's between 1 and 50 characters, donâ€™t forget the multilingual!",,,,
pms-title-placeholder,admin,"Between 1 and 50 characters","Between 1 and 50 characters",,,,
port,admin,Port,Port,NULL,Puerto,,
portal-content-help,admin,"Add images for mobile and desktop versions of the portal and select times to show the content. For example you may show a large breakfast image with  text for prices as the main image, but this text may be too small on mobile, so add a new image showing just the text for mobile.<br><br>Next, set this content to only show between 4am and 9am to advertise breakfast.<br><br>Add more content for lunch, dinner and supper.","Add images for mobile and desktop versions of the portal and select times to show the content. For example you may show a large breakfast image with  text for prices as the main image, but this text may be too small on mobile, so add a new image showing just the text for mobile.<br><br>Next, set this content to only show between 4am and 9am to advertise breakfast.<br><br>Add more content for lunch, dinner and supper.",,,,
portal-content-options-image,admin,"Full size image","Full size image",,,,
portal-content-options-image-help,admin,"Content image spans the full width of the Portal with the highest width 1300px and as the Portal shrinks to fit smaller devices so the image will still fully span the Portal.<br><br>The height of the content image should be just over a third of the width so 450px.","Content image spans the full width of the Portal with the highest width 1300px and as the Portal shrinks to fit smaller devices so the image will still fully span the Portal.<br><br>The height of the content image should be just over a third of the width so 450px.",,,,
portal-content-options-image-note,admin,"NB. If there is no mobile image this image will show on mobile devices.","NB. If there is no mobile image this image will show on mobile devices.",,,,
portal-content-options-mobile,admin,"Mobile image","Mobile image",,,,
portal-content-options-mobile-help,admin,"This image will be shown on smaller devices like mobiles and small tablets from 600px across.<br><br>The height of the content image should be just over a third of the width so 200px.","This image will be shown on smaller devices like mobiles and small tablets from 600px across.<br><br>The height of the content image should be just over a third of the width so 200px.",,,,
portal-content-options-mobile-note,admin,"NB. This will override Main image on the mobile Portal, but will not show on the Desktop Portal.","NB. This will override Main image on the mobile Portal, but will not show on the Desktop Portal.",,,,
portal-content-options-times-help,admin,"Choose the days and times this content should show","Choose the days and times this content should show",,,,
portal-create-desc,admin,"Click to create new Portal","Click to create new Portal",,,,
portal-delete,admin,"Delete Portal","Delete Portal",,,,
portal-delete-success,admin,"The Portal :name has been deleted","The Portal :name has been deleted",,,,
portal-delete-sure,admin,"Are you sure you want to delete this Portal?","Are you sure you want to delete this Portal?",,,,
portal-edit,admin,"Edit Portal","Edit Portal",,,,
portal-edit-desc,admin,"Fill in the form and save the Portal","Fill in the form and save the Portal",,,,
portal-form-label-help,admin,"This is the label of the question you wish to ask i.e. the question, and should be between 2 and 60 characters. Try to keep it short and to the point for example 'Name' instead of 'Please enter your name in the box below'.","This is the label of the question you wish to ask i.e. the question, and should be between 2 and 60 characters. Try to keep it short and to the point for example 'Name' instead of 'Please enter your name in the box below'.",,,,
portal-form-label-placeholder,admin,"Between 2 and 60 characters","Between 2 and 60 characters",,,,
portal-form-mapping-help,admin,"Map this question to one of the fields in the system database, for example if you choose 'Name' then when a guest fills in the answer to this question it will save to the name field in the database. Selecting 'None' will create a new field in the system database and the system will not use the answer.","Map this question to one of the fields in the system database, for example if you choose 'Name' then when a guest fills in the answer to this question it will save to the name field in the database. Selecting 'None' will create a new field in the system database and the system will not use the answer.",,,,
portal-form-placeholder-help,admin,"This is the text shown to the guest before they type anything in and the title so if the guest moves their mouse over the question they will see the placeholder.","This is the text shown to the guest before they type anything in and the title so if the guest moves their mouse over the question they will see the placeholder.",,,,
portal-form-placeholder-placeholder,admin,"Between 2 and 64 characters","Between 2 and 64 characters",,,,
portal-form-types-help,admin,"Click on the list to choose the type of fomr element the guest will fill in","Click on the list to choose the type of fomr element the guest will fill in",,,,
portal-index-desc,admin,"Click on a Portal to edit it","Click on a Portal to edit it",,,,
portal-login-desc-full,admin,"Please fill in the form below and hit login","Please fill in the form below and hit login",,,,
portal-login-desc-reduced,admin,"To get on the internet hit the login button below","To get on the internet hit the login button below",,,,
portal-no-id-error,admin,"Sorry, we cannot find that portal","Sorry, we cannot find that portal",,,,
portal-no-portal-error,admin,"Sorry, we cannot find that portal","Sorry, we cannot find that portal",,,,
portal-not-allowed-error,admin,"Sorry, we cannot find that portal","Sorry, we cannot find that portal",,,,
portal-not-numeric-id-error,admin,"Sorry, we cannot find that portal","Sorry, we cannot find that portal",,,,
portal-options-desc,admin,"After dragging a widget on to the preview hit edit and change the options here","After dragging a widget on to the preview hit edit and change the options here",,,,
portal-options-help,admin,"Select widgets from the preview and change the options here","Select widgets from the preview and change the options here",,,,
portal-options-login-title,admin,"Login form options","Login form options",,,,
portal-options-opening,admin,"Opening time Options","Opening time Options",,,,
portal-options-opening-desc,admin,"Choose the Times and Days this Portal will be open. When the Portal is closed we will not show any authentication widgets but will show an extra 'Closed' widget.","Choose the Times and Days this Portal will be open. When the Portal is closed we will not show any authentication widgets but will show an extra 'Closed' widget.",,,,
portal-options-pms-desc,admin,"Allow a Guest to login with PMS","Allow a Guest to login with PMS",,,,
portal-options-pms-premium-all,admin,"<strong>All PMS Guests</strong>","<strong>All PMS Guests</strong>",,,,
portal-options-pms-premium-all-vip,admin,"<strong>All PMS VIP</strong>","<strong>All PMS VIP</strong>",,,,
portal-options-pms-premium-desc,admin,"Choose the type of Guest that will get premium on login, everyone else gets free.","Choose the type of Guest that will get premium on login, everyone else gets free.",,,,
portal-options-pms-premium-none,admin,<strong>None</strong>,<strong>None</strong>,,,,
portal-options-pms-premium-some-vip,admin,"<strong>Some PMS VIP</strong> - Fill in below","<strong>Some PMS VIP</strong> - Fill in below",,,,
portal-options-pms-premium-title,admin,"Who gets premium?","Who gets premium?",,,,
portal-options-pms-title,admin,"PMS Options","PMS Options",,,,
portal-options-pms-type-desc,admin,"Choose the PMS system you use","Choose the PMS system you use",,,,
portal-options-pms-type-placeholder,admin,"Type of PMS to use","Type of PMS to use",,,,
portal-options-pms-type-title,admin,"PMS Type","PMS Type",,,,
portal-options-pms-vip-tags,admin,"VIP Tags","VIP Tags",,,,
portal-options-pms-vip-tags-desc,admin,"Type the value of the VIP members that should be logged in as premium e.g. 'VIP' or 'G1'","Type the value of the VIP members that should be logged in as premium e.g. 'VIP' or 'G1'",,,,
portal-options-pms-vip-tags-placeholder,admin,"Enter a value and press enter","Enter a value and press enter",,,,
portal-options-welcome-back-help,admin,"If the Portal knows the guest this widget is shown","If the Portal knows the guest this widget is shown",,,,
portal-preview-help,admin,"Shows what your portal will look like on some mobile devices<br><br>Tip: If you hold Ctrl and press minus (-) twice the preview is closer to actual size (Ctrl and press zero (0) to reset)","Shows what your portal will look like on some mobile devices<br><br>Tip: If you hold Ctrl and press minus (-) twice the preview is closer to actual size (Ctrl and press zero (0) to reset)",,,,
portal-question-address-default,admin,,,,,,
portal-question-address-label,admin,"Please enter your address","Please enter your address",,,,
portal-question-address-placeholder,admin,,,,,,
portal-question-address-placeholder1,admin,"House Name/Number","House Name/Number",,,,
portal-question-address-placeholder2,admin,Address,Address,,,,
portal-question-address-placeholder3,admin,Postcode,Postcode,,,,
portal-question-adult-default,admin,,,,,,
portal-question-adult-label,admin,"Confirm you are over 18","Confirm you are over 19",,,,
portal-question-adult-placeholder,admin,,,,,,
portal-question-age-14-18,admin,"14 - 18","15 - 18",,,,
portal-question-age-19-30,admin,"19 - 30","20 - 30",,,,
portal-question-age-default,admin,,,,,,
portal-question-age-label,admin,"How old are you?","How old are you?",,,,
portal-question-age-over30,admin,"Over 30","Over 31",,,,
portal-question-age-placeholder,admin,,,,,,
portal-question-age-under13,admin,"Under 13","Under 14",,,,
portal-question-dob-default,admin,,,,,,
portal-question-dob-label,admin,"Enter date of birth","Enter date of birth",,,,
portal-question-dob-placeholder,admin,,,,,,
portal-question-email-default,admin,,,,,,
portal-question-email-label,admin,"Please enter your email address","Please enter your email address",,,,
portal-question-email-placeholder,admin,"Must be a valid email","Must be a valid email",,,,
portal-question-gender-default,admin,,,,,,
portal-question-gender-label,admin,Gender,Gender,,,,
portal-question-gender-placeholder,admin,,,,,,
portal-question-marketing-default,admin,,,,,,
portal-question-marketing-label,admin,"Receive our newsletter","Receive our newsletter",,,,
portal-question-marketing-placeholder,admin,,,,,,
portal-question-mobile-default,admin,,,,,,
portal-question-mobile-label,admin,"What is your mobile number?","What is your mobile number?",,,,
portal-question-mobile-placeholder,admin,"Maximum 11 characters","Maximum 11 characters",,,,
portal-question-name-default,admin,,,,,,
portal-question-name-label,admin,"Please enter your name","Please enter your name",,,,
portal-question-name-placeholder,admin,"First and last names","First and last names",,,,
portal-question-postcode-default,admin,,,,,,
portal-question-postcode-label,admin,"Please enter your postcode","Please enter your postcode",,,,
portal-question-postcode-placeholder,admin,"Maximum 20 characters","Maximum 20 characters",,,,
portal-question-terms-label,admin,"Agree to <a href=""#"" class=""fake-link"">our Ts&Cs</a>","Agree to <a href=""#"" class=""fake-link"">our Ts&Cs</a>",,,,
portal-save-successful,admin,"Your portal "":title"" has been saved","Your portal "":title"" has been saved",,,,
portal-settings,admin,"Portal Settings","Portal Settings",,,,
portal-settings-desc,admin,"Change the overall settings for this Portal","Change the overall settings for this Portal",,,,
portal-settings-help,admin,"Change the elements below to update the overall options of your Portal","Change the elements below to update the overall options of your Portal",,,,
portal-widget-background-desc,admin,"Background image or colour","Background image or colour",,,,
portal-widget-background-help,admin,"Add a background image","Add a background image",,,,
portal-widget-background-title,admin,Background,Background,,,,
portal-widget-colours-desc,admin,"Text, border and background","Text, border and background",,,,
portal-widget-colours-help,admin,"Add some colours to your Portal","Add some colours to your Portal",,,,
portal-widget-colours-title,admin,Colours,Colours,,,,
portal-widget-content-desc,admin,"Add some content","Add some content",,,,
portal-widget-content-help,admin,"Add image or text content to your Portal","Add image or text content to your Portal",,,,
portal-widget-content-title,admin,Content,Content,,,,
portal-widget-login-form-desc,admin,"Add a Login form","Add a Login form",,,,
portal-widget-login-form-help,admin,"Add a login button and optional questions to your Portal","Add a login button and optional questions to your Portal",,,,
portal-widget-login-form-title,admin,"Login form","Login form",,,,
portal-widget-logo-desc,admin,"Add a logo to your portal","Add a logo to your portal",,,,
portal-widget-logo-help,admin,"Add a logo image to your portal. Drag the image then mouse over and click edit. On the options upload an image.","Add a logo image to your portal. Drag the image then mouse over and click edit. On the options upload an image.",,,,
portal-widget-logo-title,admin,Logo,Logo,,,,
portal-widget-marketing-desc,admin,"Marketing description","Marketing description",,,,
portal-widget-marketing-help,admin,"Marketing help","Marketing help",,,,
portal-widget-marketing-title,admin,Marketing,Marketing,,,,
portal-widget-opening-desc,admin,"Does your portal close?","Does your portal close?",,,,
portal-widget-opening-help,admin,"Add opening and closing times","Add opening and closing times",,,,
portal-widget-opening-title,admin,"Opening times","Opening times",,,,
portal-widget-pms-desc,admin,"PMS description","PMS description",,,,
portal-widget-pms-help,admin,"PMS help","PMS help",,,,
portal-widget-pms-title,admin,PMS,PMS,,,,
portal-widget-premium-desc,admin,"Add Premium login button","Add Premium login button",,,,
portal-widget-premium-help,admin,"Add Premium login button","Add Premium login button",,,,
portal-widget-premium-title,admin,Premium,Premium,,,,
portal-widget-redirect-desc,admin,"Where does the guest land?","Where does the guest land?",,,,
portal-widget-redirect-help,admin,"After successful login, redirect your guests to a URL","After successful login, redirect your guests to a URL",,,,
portal-widget-redirect-title,admin,"Login Redirect","Login Redirect",,,,
portal-widget-social-login-desc,admin,"Add Social Login buttons","Add Social Login buttons",,,,
portal-widget-social-login-help,admin,"Add Social Login buttons to your Portal","Add Social Login buttons to your Portal",,,,
portal-widget-social-login-title,admin,"Social login","Social login",,,,
portal-widget-terms-desc,admin,"Terms and conditions","Terms and conditions",,,,
portal-widget-terms-help,admin,"Add Terms and conditions","Add Terms and conditions",,,,
portal-widget-terms-title,admin,Ts&Cs,Ts&Cs,,,,
portal-widget-voucher-login-desc,admin,"Add a Voucher Login","Add a Voucher Login",,,,
portal-widget-voucher-login-help,admin,"Add voucher login to your Portal","Add voucher login to your Portal",,,,
portal-widget-voucher-login-title,admin,"Voucher Login","Voucher Login",,,,
portal-widget-welcome-desc,admin,"Add remember guest","Add remember guest",,,,
portal-widget-welcome-help,admin,"If the Portal knows the guest, add a welcome back button","If the Portal knows the guest, add a welcome back button",,,,
portal-widget-welcome-title,admin,"Welcome Back","Welcome Back",,,,
portal-widgets-help,admin,"Drag your widgets from here to the preview","Drag your widgets from here to the preview",,,,
portals,admin,Portals,Portals,,,,
predefined-questions,admin,"Predefined Questions","Predefined Questions",,,,
predefined-questions-help,admin,"Click on the form element below and choose the questions you want on the form.<br>If you want to override the defaults you can add a custom question below and 'map' to the correct field<br> For example, create a Custom question with a label 'Handle' and map it to name, now en the guest fills in their handle the system will use that as their name and show it on the Welcome back widget and other places in the system.","Click on the form element below and choose the questions you want on the form.<br>If you want to override the defaults you can add a custom question below and 'map' to the correct field<br> For example, create a Custom question with a label 'Handle' and map it to name, now en the guest fills in their handle the system will use that as their name and show it on the Welcome back widget and other places in the system.",,,,
premium,admin,Premium,Premium,,,,
premium_cost,admin,"Premium Cost","Premium Cost",NULL,"Costo de primera calidad",,
premium-button,admin,"Premium Button","Premium Button",,,,
premium-guests-desc,admin,"Number of guests that have upgraded to premium over all time","Number of guests that have upgraded to premium over all time",,"Numero de personas que han actualizado a la prima sobre todos los tiempos",,
premium-guests-help,admin,"Number of times a guest has paid to increase the bandwidth. Click to see the guests reports.","Number of times a guest has paid to increase the bandwidth. Click to see the guests reports.",,"Numero de veces que un cliente ha pagado para aumentar el ancho de banda. Haga clic para ver los informes de huespedes.",,
premium-guests-title,admin,"Premium guests","Premium guests",,"Clientes premium",,
premium-member,admin,"This is a premium member","This is a premium member",,"Se trata de un miembro de la prima",,
preview,admin,Preview,Preview,,Preestreno,,
previous-calendar-month,admin,"Previous Calendar Month","Previous Calendar Month",,"Anterior Mes Calendario",,
primary-colour,admin,"Primary Colour","Primary Colour",,"Colores primarios",,
primary-colour-help,admin,"Change the primary colour of the AdJet","Change the primary colour of the AdJet",,"Cambiar el color principal de la Adjet",,
profile,admin,Profile,Profile,Profil,Perfil,,
profile-desc,admin,"Edit this user and all the details","Edit this user and all the details",NULL,"Editar este usuario y todos los detalles",,
profile-edit,admin,"Edit Profile","Edit Profile","Modifier le profil","Editar Perfil",,
profile-edit-success,admin,"Successfully changed the profile of ","Successfully changed the profile of ","RÃ‡Â¸ussi  changer le profil de","Cambiado con xito el perfil de",,
profile-group-help,admin,"Change the group for this user","Change the group for this user",NULL,"Cambie el grupo para este usuario",,
profile-manage,admin,"Manage your profile","Manage your profile",,,,
profile-password-help,admin,"Password must be between 4 and 20 characters long","Password must be between 4 and 20 characters long",NULL,"La contrasea debe tener entre 4 y 20 caracteres",,
profile-password-repeat-help,admin,"Enter the same password as above","Enter the same password as above",NULL,"Introduzca la misma contrasea que el anterior",,
profile-role-help,admin,"Choose the role for this user","Choose the role for this user",NULL,"Elija el papel de este usuario",,
profile-template-help,admin,"Choose the template for this user","Choose the template for this user",NULL,"Elija la plantilla de este usuario",,
question-text,admin,"Question Text","Question Text",,"Texto de la Pregunta",,
question-text-help,admin,"Guests will be asked to give a rating out of 10","Guests will be asked to give a rating out of 11",,"Se ruega a los huespedes a dar una clasificacion de los 10",,
question-text-placeholder,admin,"Enter a question to ask the guest","Enter a question to ask the guest",,"Escriba una pregunta que hacer al cliente",,
questions,admin,Questions,Questions,,,,
rated,admin,Rated,Rated,,Nominal,,
redirect-url,admin,"Redirect URL","Redirect URL",NULL,"Redireccionar URL",,
reference,admin,Reference,Reference,,,,
register,portal,Register,Register,,,,
register-desc,admin,"Confirm your gateway and account on the system","Confirm your gateway and account on the system",,"Confirme su puerta de entrada y de la cuenta en el sistema",,
register-description,portal,"Please enter your details below to register","Please enter your details below to register",,,,
register-gateway-exits-error,admin,"This Gateway is already registered on the system, please contact support.","This Gateway is already registered on the system, please contact support.",,"Esta puerta de enlace ya esta registrado en el sistema, por favor contactar con el soporte.",,
register-gateway-site-help,admin,"Register a Gateway (that you have the serial for) to this Site.","Register a Gateway (that you have the serial for) to this Site.",,"Registrar la puerta de enlace (que tiene la serie para) a este lugar.",,
register-group-exits-error,admin,"This Group of Sites exists. Please ask your administrator to add you to the Site and add the new Gateway Serial number to the Site.","This Group of Sites exists. Please ask your administrator to add you to the Site and add the new Gateway Serial number to the Site.",,"Este Grupo de los Lugares existe. Por favor, pregunte a su administrador para agregar a la Sede y anadir el nuevo numero de serie Puerta de entrada a la sede.",,
register-page,admin,"Account was created using the register page","Account was created using the register page",NULL,"Cuenta fue creado utilizando la pgina de registro",,
register-serial-error,admin,"The serial number is incorrect, please check and re-add","The serial number is incorrect, please check and re-add",,"El numero de serie es incorrecta, por favor, verifique y volver a anadir",,
register-site-exists-error,admin,"This Site exists. Please ask your administrator to add you to the Site and add the new Gateway Serial number to the Site.","This Site exists. Please ask your administrator to add you to the Site and add the new Gateway Serial number to the Site.",,"Existe este lugar . Por favor, pregunte a su administrador para agregar a la Sede y anadir el nuevo numero de serie Puerta de entrada a la sede.",,
register-user-exists-error,admin,"This User exists, please login and add the Gateway to your Site.","This User exists, please login and add the Gateway to your Site.",,"Este usuario no existe, por favor entra y agregar la entrada a su lugar.",,
"register-user-exits-error ",admin,"This user exists, please login instead of registering ","This user exists, please login instead of registering ",,"Este usuario existe, por favor entra en lugar de registrarse",,
register-user-title,admin,"About You <small class=""hidden-xs"">Information to create your account</small>","About You <small class=""hidden-xs"">Information to create your account</small>",,"Sobre Ti <small class=""hidden-xs"">Informacion y crear tu cuenta</small>",,
remove,admin,Remove,Remove,,quitar,,
reports,admin,Reports,Reports,Rapports,Informes,,
reports-adjets,admin,"AdJets Reports","AdJets Reports",NULL,"Adjets Informes",,
reports-adjets-desc,admin,"Summary for each AdJet on this site","Summary for each AdJet on this site",NULL,"Resumen para cada Adjet en este lugar",,
reports-desc,admin,"See reports on things like AdJets and Guests for this Site","See reports on things like AdJets and Guests for this Site","Voir tous vos rapports sur ce site","Ver informes sobre cosas como AdJets y huespedes de este lugar",,
reports-financial,admin,"Financial Reports","Financial Reports",NULL,"Informes Financieros",,
reports-financial-desc,admin," for this site"," for this site",NULL,"para este lugar",,
reports-gateways,admin,"Gateway Reports","Gateway Reports",NULL,"Informes de puerta de enlace",,
reports-gateways-desc,admin,"Table of reports for each Gateway on this site","Table of reports for each Gateway on this site",NULL,"Resumen de las memorias para cada puerta de enlace en este lugar",,
resite,admin,Resite,Resite,,Ingresos,,
resite-desc,admin,"The amount of resite generated<br>over all time","The amount of resite generated<br>over all time",,"El importe de los ingresos gener ms de todos los tiempos",,
resite-desc-off,admin,"Your resite is generated by guests buying premium, click to create a MenuJet","Your resite is generated by guests buying premium, click to create a MenuJet",,"Su ingreso es generado por los clientes que compran prima, haga clic para crear un menuJet",,
resite-help,admin,"The amount of resite generated over all time. Click to see the financial report.","The amount of resite generated over all time. Click to see the financial report.",,"El importe de los ingresos gener ms de todos los tiempos. Haga clic para ver el informe financiero.",,
resite-title-off,admin,"Please create AdJets","Please create AdJets",,"Por favor, cree adJets",,
role,admin,Role,Role,,,,
role-create,admin,"Create Role","Create Role",,"crear Rol",,
role-create-desc,admin,"Create a Role for the system","Create a Role for the system","CrÃ‡Â¸ation d'un rle pour le systme","Crear un rol para el sistema",,
role-delete,admin,"Delete Role","Delete Role",,"Eliminar Rol",,
role-delete-sure,admin,"Are you sure you want to delete the role ':role'?<br>NB. This cannot be undone and must be recreated if you need to re-use it!","Are you sure you want to delete the role ':role'?<br>NB. This cannot be undone and must be recreated if you need to re-use it!",,"Seguro que quieres eliminar el papel ' :role'?<br>NB. Esto no puede ser deshecha y debe ser recreado si necesita volver a usarlo!",,
role-edit,admin,"Edit Role","Edit Role",,"Editar Papel",,
role-edit-delete-click,admin,"Click to edit or delete this role","Click to edit or delete this role","Cliquez pour modifier ou supprimer ce rle","Haga clic para editar o eliminar este papel",,
role-edit-desc,admin,"Editing an existing Role","Editing an existing Role",,,,
role-help,admin,"The name of the Role must be less than 60 chars and more than 3 chars.","The name of the Role must be less than 60 chars and more than 3 chars.",,"El nombre de la funcion debe ser inferior a 60 caracteres y mas de 3 caracteres.",,
role-name,admin,"Role Name","Role Name",,,,
role-placeholder,admin,"e.g. Admin","e.g. Admin",,"por ejemplo Admin",,
role-save-failed,admin,":role has failed to be saved",":role has failed to be saved",,,,
role-saved,admin,":role has been successfully saved",":role has been successfully saved",,,,
role-title,admin,"Roles &amp; Permissions","Roles &amp; Permissions","Rles &amp; Autorisations","Roles y Permisos",,
roles,admin,Roles,Roles,Rles,Roles,,
roles-and-permissions,admin,"Roles and Permissions","Roles and Permissions",,,,
roles-default-tab,admin,"<div class=""text-center"" id=""default-tab""><i class=""fa fa-lock tabbed-content-main-icon"" aria-hidden=""true"" ></i><h2 class=""default_tab_title"">This page shows all Roles and Permissions</h2><p>By clicking on any role in the list, the corresponding permissions will appear.<br/>You can switch the permissions on and off per role.</p><p>Pressing on save will save all your changes.</p></div>","<div class=""text-center"" id=""default-tab""><i class=""fa fa-lock tabbed-content-main-icon"" aria-hidden=""true"" ></i><h2 class=""default_tab_title"">This page shows all Roles and Permissions</h2><p>By clicking on any role in the list, the corresponding permissions will appear.<br/>You can switch the permissions on and off per role.</p><p>Pressing on save will save all your changes.</p></div>",,,,
roles-manage-desc,admin,"Manage roles and permissions for the system","Manage roles and permissions for the system","GÃ‡Â¸rer les rles pour le systme","Administrar roles y permisos para el sistema",,
roles-manageable,admin,"Manageable Roles","Manageable Roles",,"Roles manejables",,
roles-manageable-help,admin,"If we choose 1 or more roles here, then any users with this role will see the manage users pull down and can edit the users with the roles above.","If we choose 1 or more roles here, then any users with this role will see the manage users pull down and can edit the users with the roles above.",,"Si optamos por 1 o mas funciones aqui, entonces cualquier usuario con este rol veran al gestionar usuarios tiran hacia abajo y pueden editar los usuarios con los roles anteriores.",,
roles-manageable-placeholder,admin,"Roles this role can manage, type or click to choose","Roles this role can manage, type or click to choose",,"Roles este rol pueden gestionar, escriba o haga clic para elegir",,
roles-success-update,admin,"Roles and Permissions has been successfully updated","Roles and Permissions has been successfully updated",,,,
room,portal,Room,Room,,,,
room-placeholder,portal,"Room number","Room number",,,,
route,admin,Route,Route,,Ruta,,
route-help,admin,"This must be EXACTLY the same as the route (all routes should be plural) all lower case. The Route and action must be no more than 128 chars.","This must be EXACTLY the same as the route (all routes should be plural) all lower case. The Route and action must be no more than 128 chars.",,"Esto debe ser exactamente la misma que la ruta ( todas las rutas deben ser plural ) todo en minusculas. La ruta y la accion deben ser no mas de 128 caracteres.",,
route-placeholder,admin,"e.g. notes","e.g. notes",,"por ejemplo notas",,
same-as-yesterday,admin,"Same as yesterday","Same as yesterday",,"Igual que ayer",,
save,admin,Save,Save,Enregistrer,Guardar,,
save-all,admin,"Save All","Save All",,,,
save-preview,admin,"Save &amp; Preview","Save &amp; Preview",,"Guardar y Vista previa",,
search-guests,admin,"Search your guests","Search your guests",,,,
secondary-colour,admin,"Secondary Colour","Secondary Colour",,"Color secundario",,
secondary-colour-help,admin,"Change the secondary colour of the AdJet","Change the secondary colour of the AdJet",,"Cambiar el color secundario de la Adjet",,
seconds,admin,Seconds,Seconds,,Segundos,,
see-messages,admin,"See all messages","See all messages",,,,
select-default-widgets,admin,"Select all default widgets","Select all default widgets",,,,
select-gateway,admin,"Select your gateway from the list","Select your gateway from the list",,"Seleccione la puerta de enlace de la lista",,
select-image,admin,"Select image","Select image",,"Seleccionar imagen",,
send,admin,Send,Send,,Enviar,,
send-email,admin,"Send Email",,,,,
send-message,admin,"Send message","Send message",,,,
serial,admin,Serial,Serial,NULL,Serial,,
serial-placeholder,admin,"S/N of the gateway for your Site, 12 characters","S/N of the gateway for your Site, 12 characters",,"S/N de la puerta de entrada para su Sede",,
server-error,admin,"Server Error!","Server Error!",,,,
show-times,admin,"Show times","Show times",,,,
site,admin,Site,Site,,,,
site-create,admin,"Create Site","Create Site",,,,
